Date,Close,Volume
11/1/2019,143.72,33128370
10/1/2019,137.07,22581930
8/1/2019,138.06,40557500
7/1/2019,135.68,22654160
5/1/2019,127.88,26821690
4/1/2019,119.02,19885780
3/1/2019,112.53,20821260
2/1/2019,102.78,35243730
11/1/2018,105.92,33243300
10/1/2018,115.61,18610500
8/1/2018,106.28,23617980
6/1/2018,100.79,28615930
5/1/2018,95,31400270
3/1/2018,92.85,36979700
2/1/2018,94.26,46866010
12/1/2017,84.26,29387350
11/1/2017,83.18,22278730
9/1/2017,73.94,21713620
8/1/2017,72.58,20755590
6/1/2017,70.10,21538070
5/1/2017,69.41,31902530
3/1/2017,64.94,26911390
2/1/2017,63.58,39650890
12/1/2016,59.20,34518030
11/1/2016,59.80,24474870
9/1/2016,57.59,26053530
8/1/2016,56.58,26003110
7/1/2016,51.16,21398770
6/1/2016,52.85,25104350
4/1/2016,55.57,24383590
3/1/2016,52.58,32999880
2/1/2016,54.71,44172930
12/1/2015,55.22,39912320
10/1/2015,44.61,28564790
9/1/2015,41.82,49682210
7/1/2015,44.45,28339610
6/1/2015,47.23,28610080
5/1/2015,48.66,36432670
4/1/2015,40.72,36841010
12/1/2014,48.62,31187680
10/1/2014,45.90,38050210
8/1/2014,42.86,30926280
7/1/2014,41.87,26916950
5/1/2014,40,28787400
4/1/2014,41.42,32604260
11/1/2013,35.53,40264390
10/1/2013,33.58,36664230
8/1/2013,31.67,42499400
7/1/2013,34.36,31053200
5/1/2013,32.72,54327480
4/1/2013,28.61,29085390
3/1/2013,27.95,34849290
2/1/2013,27.93,55548860
11/1/2012,29.52,72012880
10/1/2012,29.49,53988480
8/1/2012,29.41,31721700
6/1/2012,28.45,56615600
5/1/2012,32.01,43827240
3/1/2012,32.29,77297490
2/1/2012,29.89,67404180
12/1/2011,25.28,48520080
11/1/2011,25.99,61163340
9/1/2011,26.21,60499990
8/1/2011,27.27,61799840
7/1/2011,26.02,52901730
6/1/2011,24.43,73819070
4/1/2011,25.48,63064600
3/1/2011,26.16,59455250
2/1/2011,27.99,62711150
12/1/2010,26.04,74029350
11/1/2010,26.95,61909210
10/1/2010,24.38,62616410
9/1/2010,23.90,64832480
7/1/2010,23.16,92210420
6/1/2010,25.89,76120800
4/1/2010,29.16,74753190
